articleCode,barcode,sizes,CurrentBasePrice,CurrentSalePrice,consignment,consignmentRp,qty,status
ESH.AR-QG0012,00ARQG0132,L,94500,135000,0,40500,0,0
ESH.AR-QG0012,00ARQG0133,XL,94500,135000,0,40500,0,0
ESH.AR-QG0013,00ARQG0134,S,94500,135000,0,40500,0,0
ESH.AR-QG0013,00ARQG0135,M,94500,135000,0,40500,0,0
ESH.AR-QG0013,00ARQG0136,L,94500,135000,0,40500,0,0
ESH.AR-QG0013,00ARQG0137,XL,94500,135000,0,40500,0,0
ESH.AR-QG0014,00ARQG0138,S,94500,135000,0,40500,0,0
ESH.AR-QG0014,00ARQG0139,M,94500,135000,0,40500,0,0
ESH.AR-QG0014,00ARQG0140,L,94500,135000,0,40500,0,0
ESH.AR-QG0014,00ARQG0141,XL,94500,135000,0,40500,0,0
ESH.AR-QH0001,00ARQH0001,ALL,105000,150000,0,45000,0,0
ESH.AR-QH0002,00ARQH0002,ALL,105000,150000,0,45000,0,0
ESH.AR-QH0003,00ARQH0003,ALL,105000,150000,0,45000,0,0
ESH.AR-QH0004,00ARQH0004,ALL,98000,140000,0,42000,0,0
ESH.AR-QH0005,00ARQH0009,ALL,143500,205000,0,61500,0,0
ESH.AR-QH0006,00ARQH0010,ALL,143500,205000,0,61500,0,0
