noTrans,ArticleCode,Barcode,sizes,qty,basePrice,salePrice,DiscountType,discountPersen,discountRupiah,DiscExpenses,consignment,consignmentRp,subTotal,payment
01SCS19E290080,ESH.AR-SD0045,00ARSD0406,L,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290081,AR.CPT-RE013,20ARRE0720,XL,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E290082,AR.TUC-SD004,20ARSD0154,L,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E290083,AR.ESB-SE012,20ARSE0283,M,1,198250,305000,2,0,61000,1,0,61000,244000,183000
01SCS19E290084,AR.PUB-SE033,20ARSE0630,M,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E290085,AR.MPR-SE010,20ARSE0175,L,1,97500,150000,2,0,45000,1,0,26250,105000,78750
01SCS19E290085,AR.MPR-SE030,20ARSE0293,L,1,230750,355000,2,0,71000,1,0,71000,284000,213000
01SCS19E290086,BSC.AR-SD0028,00ARSD0160,S,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290087,BSC.AR-SE0031,00ARSE0294,XL,1,52000,155000,0,0,0,0,0,31000,155000,124000
01SCS19E290087,ESH.AR-SE0005,00ARSE0019,L,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290088,AR.MDS-RE009,20ARRE0662,M,1,126750,195000,2,0,39000,1,0,39000,156000,117000
01SCS19E290089,AR.PCT-SE019,20ARSE0686,M,1,87750,135000,2,0,27000,1,0,27000,108000,81000
01SCS19E290090,ESH.AR-SD0026,00ARSD0266,S,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290091,AR.PUB-SD031,20ARSD0213,28,1,211250,325000,2,0,65000,1,0,65000,260000,195000
01SCS19E290092,AR.MPR-SE033,20ARSE0304,M,1,230750,355000,2,0,71000,1,0,71000,284000,213000
01SCS19E290093,BSC.AR-SE0046,00ARSE0400,L,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290094,ESH.AR-SE0018,00ARSE0118,M,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290095,BSC.AR-SC0028,00ARSC0196,M,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E290095,BSC.AR-SE0011,00ARSE0099,L,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290095,BSC.AR-SE0046,00ARSE0399,M,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290096,AR.PUB-RI024,20ARRI0308,L,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E290096,AR.SMD-RH002,20ARRH0071,M,1,211250,325000,2,0,97500,1,0,56875,227500,170625
01SCS19E290097,AR.BPH-RH007,20ARRH0354,L,1,214500,330000,2,0,165000,1,0,41250,165000,123750
01SCS19E290098,ESH.AR-SD0007,00ARSD0059,L,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290099,BSC.AR-SD0059,00ARSD0331,NON,1,45000,140000,0,0,0,0,0,28000,140000,112000
01SCS19E290099,BSC.AR-SD0060,00ARSD0332,NON,1,45000,140000,0,0,0,0,0,28000,140000,112000
01SCS19E290100,AR.ESB-SE006,20ARSE0258,S,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E290100,AR.MPR-SE033,20ARSE0305,L,1,230750,355000,2,0,71000,1,0,71000,284000,213000
01SCS19E290100,AR.SMD-QD002,20ARQD0028,L,1,84500,130000,2,0,39000,1,0,22750,91000,68250
01SCS19E290100,ESH.AR-SC0010,00ARSC0082,L,1,44500,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290100,ESH.AR-SC0011,00ARSC0086,L,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E290101,AR.CPT-RL002,20ARRL0075,M,1,94250,145000,2,0,29000,1,0,29000,116000,87000
